
Slice of inventory for a character.





{'Name': '?', 'item_id': [21, 2], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 116}
{'Name': 'Burn, O Flame!', 'item_id': [232, 23], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [59, 0, 0], 'iter': 145}
{'Name': 'Mottled Necklace +1', 'item_id': [177, 4], 'uid': [0, 160], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 147}
{'Name': '?', 'item_id': [169, 0], 'uid': [128, 192], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 163}
{'Name': 'Ghost Glovewort :[5]', 'item_id': [162, 42], 'uid': [0, 176], 'quantity': 7, 'pad1': [0, 0, 0], 'pad2': [55, 0, 0], 'iter': 194}
{'Name': 'Ancestral Infants Head', 'item_id': [184, 11], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 179}
{'Name': '?', 'item_id': [181, 4], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [42, 0, 0], 'iter': 107}
{'Name': 'Warrior Jar Shard', 'item_id': [206, 4], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 187}
{'Name': '?', 'item_id': [62, 1], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 212}
{'Name': '?', 'item_id': [55, 3], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 222}
{'Name': '?', 'item_id': [156, 0], 'uid': [128, 192], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 229}
{'Name': 'Numens Rune', 'item_id': [97, 11], 'uid': [0, 176], 'quantity': 10, 'pad1': [0, 0, 0], 'pad2': [58, 0, 0], 'iter': 57}
{'Name': 'Executioners Greataxe', 'item_id': [64, 26], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 247}
{'Name': 'All-Knowing Greaves', 'item_id': [220, 1], 'uid': [128, 128], 'quantity': 8, 'pad1': [0, 0, 0], 'pad2': [37, 0, 0], 'iter': 255}
{'Name': 'Holy Grease', 'item_id': [150, 5], 'uid': [0, 176], 'quantity': 10, 'pad1': [0, 0, 0], 'pad2': [47, 0, 0], 'iter': 247}
{'Name': '?', 'item_id': [3, 2], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 45}
{'Name': 'Smithing Stone :[6]', 'item_id': [121, 39], 'uid': [0, 176], 'quantity': 71, 'pad1': [0, 0, 0], 'pad2': [57, 0, 0], 'iter': 228}
{'Name': 'Smithing Stone :[7]', 'item_id': [122, 39], 'uid': [0, 176], 'quantity': 61, 'pad1': [0, 0, 0], 'pad2': [58, 0, 0], 'iter': 192}
{'Name': 'Ghost Glovewort :[7]', 'item_id': [164, 42], 'uid': [0, 176], 'quantity': 8, 'pad1': [0, 0, 0], 'pad2': [58, 0, 0], 'iter': 58}
{'Name': 'Ghost Glovewort :[6]', 'item_id': [163, 42], 'uid': [0, 176], 'quantity': 10, 'pad1': [0, 0, 0], 'pad2': [55, 0, 0], 'iter': 102}
{'Name': 'Bone Dart', 'item_id': [174, 6], 'uid': [0, 176], 'quantity': 40, 'pad1': [0, 0, 0], 'pad2': [56, 0, 0], 'iter': 243}
{'Name': 'Ghost Glovewort :[8]', 'item_id': [165, 42], 'uid': [0, 176], 'quantity': 5, 'pad1': [0, 0, 0], 'pad2': [58, 0, 0], 'iter': 56}
{'Name': 'Somber Smithing Stone :[7]', 'item_id': [182, 39], 'uid': [0, 176], 'quantity': 36, 'pad1': [0, 0, 0], 'pad2': [56, 0, 0], 'iter': 111}
{'Name': 'Mausoleum Soldier Ashes', 'item_id': [48, 224], 'uid': [3, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 143}
{'Name': '?', 'item_id': [138, 4], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 150}
{'Name': '?', 'item_id': [232, 0], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 152}
{'Name': 'Ruptured Crystal Tear', 'item_id': [9, 43], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [53, 0, 0], 'iter': 124}
{'Name': 'Clarifying Cured Meat', 'item_id': [106, 4], 'uid': [128, 128], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 166}
{'Name': '?', 'item_id': [36, 1], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 169}
{'Name': '?', 'item_id': [199, 1], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 170}
{'Name': '?', 'item_id': [247, 4], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 171}
{'Name': 'Brick Hammer', 'item_id': [48, 1], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 172}
{'Name': 'Prince of Deaths Cyst', 'item_id': [167, 4], 'uid': [0, 160], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 208}
{'Name': 'Blessed Dew Talisman', 'item_id': [156, 19], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 211}
{'Name': '?', 'item_id': [235, 0], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 219}
{'Name': '?', 'item_id': [175, 4], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 232}
{'Name': '?', 'item_id': [229, 0], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 233}
{'Name': '?', 'item_id': [229, 3], 'uid': [128, 144], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 234}
{'Name': 'Bloodboon', 'item_id': [166, 24], 'uid': [0, 176], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [59, 0, 0], 'iter': 148}
{'Name': 'Stargazer Heirloom', 'item_id': [56, 4], 'uid': [0, 160], 'quantity': 1, 'pad1': [0, 0, 0], 'pad2': [38, 0, 0], 'iter': 250}
